Player,Nation,Pos,Team,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Víctor Chust,es ESP,DF,Elche,25,6,4,412,0,0,0,2,0,0.2,0
Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,31,8,7,635,0,0,0,2,0,1.1,0.1
Santiago Colombatto,ar ARG,MF,Oviedo,28,4,2,198,0,0,0,0,0,0.1,0.1
Santi Comesaña,es ESP,MF,Villarreal,29,7,5,389,0,0,0,1,0,0.6,0.6
Copete,es ESP,DF,Valencia,25,5,3,350,0,0,0,0,0,1.2,0
Thierry Correia,pt POR,DF,Valencia,26,3,1,117,0,0,0,0,0,0,0
Coba da Costa,es ESP,"MF,FW",Getafe,23,6,0,131,0,0,0,1,0,0.1,0.1
Samu Costa,pt POR,MF,Mallorca,24,6,3,340,1,0,0,1,0,0.2,0.1
David Costas,es ESP,DF,Oviedo,30,4,3,260,0,0,0,0,0,0,0
Thibaut Courtois,be BEL,GK,Real Madrid,33,8,8,720,0,0,0,0,0,0,0
Juan Cruz Armada,es ESP,DF,Osasuna,33,7,6,476,0,0,0,0,0,0.4,0.1
Pau Cubarsí,es ESP,DF,Barcelona,18,5,5,428,0,0,0,0,0,0.1,0.3
Cucho,co COL,FW,Betis,26,8,8,683,4,1,0,1,0,1.8,0.9
Pablo Cuñat,es ESP,GK,Levante,23,2,2,180,0,0,0,0,0,0,0
Arnaut Danjuma,nl NED,"FW,MF",Valencia,28,8,7,548,3,1,0,0,0,2.2,0.3
Sergi Darder,es ESP,"MF,FW",Mallorca,31,8,7,646,0,1,0,1,0,0.3,1.2
Davinchi,es ESP,DF,Getafe,17,7,4,429,0,0,0,1,0,0.2,0
Leander Dendoncker,be BEL,MF,Oviedo,30,7,7,619,1,0,0,2,0,0.5,0.3
Nelson Deossa,co COL,MF,Betis,25,2,1,63,0,0,0,0,0,0.1,0.1
Bambo Diaby,sn SEN,DF,Elche,27,2,1,49,0,0,0,0,0,0,0
Mouctar Diakhaby,gn GUI,DF,Valencia,28,7,6,453,1,0,0,3,0,0.5,0
Grady Diangana,cd COD,"MF,FW",Elche,27,4,2,142,0,0,0,1,0,0.1,0
Moussa Diarra,ml MLI,DF,Alavés,24,3,3,216,0,0,0,1,0,0,0
Brahim Díaz,ma MAR,FW,Real Madrid,26,6,2,195,0,2,0,0,0,0.2,1.3
